d,CA,TX,WI,date,CA_rolling_28,TX_rolling_28,WI_rolling_28
d_339,15152,9307,8594,2012-01-02,12608.464285714286,8407.892857142857,6974.214285714285
d_340,12740,8345,7666,2012-01-03,12643.0,8407.464285714286,6993.107142857143
d_341,11512,7530,6779,2012-01-04,12640.07142857143,8396.035714285714,7020.607142857143
d_342,12283,8558,7658,2012-01-05,12645.42857142857,8462.357142857143,7025.785714285715
d_343,12809,9197,8399,2012-01-06,12639.142857142857,8490.785714285714,7038.178571428572
d_344,16634,11191,9318,2012-01-07,12650.0,8561.714285714286,7040.571428571428
d_345,17261,10981,8480,2012-01-08,12696.607142857143,8550.92857142857,7039.714285714285
d_346,13418,7173,7615,2012-01-09,12722.57142857143,8478.75,7052.178571428572
d_347,12192,7940,6508,2012-01-10,12738.964285714286,8445.142857142857,7059.642857142857
d_348,11470,8551,9023,2012-01-11,12757.107142857143,8444.92857142857,7122.071428571428
d_349,10549,7901,6265,2012-01-12,12697.607142857143,8385.75,7064.714285714285
d_350,13098,9508,6857,2012-01-13,12711.92857142857,8421.0,7035.785714285715
d_351,15748,10482,10585,2012-01-14,12720.0,8438.285714285714,7105.285714285715
d_352,15729,11336,9394,2012-01-15,12730.535714285714,8509.17857142857,7180.0
d_353,14013,9018,7517,2012-01-16,12780.642857142857,8545.142857142857,7218.214285714285
d_354,10525,6925,4737,2012-01-17,12727.142857142857,8519.0,7152.321428571428
d_355,11172,7249,6927,2012-01-18,12691.07142857143,8485.964285714286,7174.5
d_356,10689,7069,6276,2012-01-19,12619.035714285714,8431.42857142857,7152.928571428572
d_357,12202,8441,6561,2012-01-20,12491.785714285714,8369.42857142857,7076.392857142857
d_358,18418,10606,9554,2012-01-21,12701.107142857143,8398.107142857143,7146.25
d_359,14539,10434,7614,2012-01-22,13220.07142857143,8770.67857142857,7418.071428571428
d_360,11365,7619,5718,2012-01-23,13183.464285714286,8719.785714285714,7386.642857142857
d_361,11109,6593,5847,2012-01-24,13159.67857142857,8695.464285714286,7395.392857142857
d_362,10622,6163,5623,2012-01-25,13119.857142857143,8655.07142857143,7390.5
d_363,10471,6757,6009,2012-01-26,13073.785714285714,8641.42857142857,7403.642857142857
d_364,12353,7920,6926,2012-01-27,12952.0,8589.607142857143,7346.785714285715
d_365,15406,10189,8767,2012-01-28,12989.17857142857,8578.82142857143,7342.214285714285
d_366,16101,10428,7048,2012-01-29,13199.285714285714,8693.25,7438.035714285715
d_367,11745,7645,5798,2012-01-30,13077.607142857143,8633.892857142857,7338.178571428572
d_368,11836,7136,6152,2012-01-31,13045.32142857143,8590.714285714286,7284.107142857143
d_369,12931,9481,7439,2012-02-01,13096.0,8660.392857142857,7307.678571428572
d_370,12804,7708,8103,2012-02-02,13114.607142857143,8630.035714285714,7323.571428571428
d_371,15263,9950,9891,2012-02-03,13202.25,8656.92857142857,7376.857142857143
d_372,20129,12224,10676,2012-02-04,13327.07142857143,8693.82142857143,7425.357142857143
d_373,17149,13255,9671,2012-02-05,13323.07142857143,8775.035714285714,7467.892857142857
d_374,13798,9108,7775,2012-02-06,13336.642857142857,8844.142857142857,7473.607142857143
d_375,12785,8889,6434,2012-02-07,13357.82142857143,8878.035714285714,7470.964285714285
d_376,12568,8174,7837,2012-02-08,13397.035714285714,8864.57142857143,7428.607142857143
d_377,12783,8329,8815,2012-02-09,13476.82142857143,8879.857142857143,7519.678571428572
d_378,14425,8128,7310,2012-02-10,13524.214285714286,8830.57142857143,7535.857142857143
d_379,19661,11675,10421,2012-02-11,13663.964285714286,8873.17857142857,7530.0
d_380,18559,12585,10760,2012-02-12,13765.035714285714,8917.785714285714,7578.785714285715
d_381,13954,10394,7327,2012-02-13,13762.92857142857,8966.92857142857,7572.0
d_382,10417,8084,6599,2012-02-14,13759.07142857143,9008.32142857143,7638.5
d_383,10994,8240,7644,2012-02-15,13752.714285714286,9043.714285714286,7664.107142857143
d_384,10984,7754,6457,2012-02-16,13763.25,9068.17857142857,7670.571428571428
d_385,12922,7653,7029,2012-02-17,13788.964285714286,9040.035714285714,7687.285714285715
d_386,16872,10383,9367,2012-02-18,13733.75,9032.07142857143,7680.607142857143
d_387,16159,11747,8432,2012-02-19,13791.607142857143,9078.964285714286,7709.821428571428
d_388,15012,8907,6299,2012-02-20,13921.857142857143,9124.964285714286,7730.571428571428
d_389,11695,7529,5966,2012-02-21,13942.785714285714,9158.392857142857,7734.821428571428
d_390,10847,7091,6177,2012-02-22,13950.82142857143,9191.535714285714,7754.607142857143
d_391,11506,7423,6282,2012-02-23,13987.785714285714,9215.32142857143,7764.357142857143
d_392,13707,7914,6249,2012-02-24,14036.142857142857,9215.107142857143,7740.178571428572
d_393,16555,9801,9413,2012-02-25,14077.17857142857,9201.25,7763.25
d_394,16642,11486,8153,2012-02-26,14096.5,9239.035714285714,7802.714285714285
d_395,12306,8578,6386,2012-02-27,14116.535714285714,9272.357142857143,7823.714285714285
d_396,10826,7474,6059,2012-02-28,14080.464285714286,9284.42857142857,7820.392857142857
d_397,11237,7570,5995,2012-02-29,14019.964285714286,9216.17857142857,7768.821428571428
d_398,13345,9398,7489,2012-03-01,14039.285714285714,9276.535714285714,7746.892857142857
d_399,15070,9186,8287,2012-03-02,14032.392857142857,9249.25,7689.607142857143
d_400,18599,11479,11241,2012-03-03,13977.75,9222.642857142857,7709.785714285715
d_401,19659,11556,9110,2012-03-04,14067.392857142857,9161.964285714286,7689.75
d_402,14495,10091,8117,2012-03-05,14092.285714285714,9197.07142857143,7701.964285714285
d_403,13714,9198,8620,2012-03-06,14125.464285714286,9208.107142857143,7780.035714285715
d_404,13444,8623,6541,2012-03-07,14156.75,9224.142857142857,7733.75
d_405,13510,8320,7929,2012-03-08,14182.714285714286,9223.82142857143,7702.107142857143
d_406,14999,8464,8859,2012-03-09,14203.214285714286,9235.82142857143,7757.428571428572
d_407,18693,11508,9358,2012-03-10,14168.642857142857,9229.857142857143,7719.464285714285
d_408,19895,11973,8744,2012-03-11,14216.357142857143,9208.0,7647.464285714285
d_409,14208,10659,7634,2012-03-12,14225.42857142857,9217.464285714286,7658.428571428572
d_410,12027,10424,6649,2012-03-13,14282.92857142857,9301.035714285714,7660.214285714285
d_411,11442,9328,7071,2012-03-14,14298.92857142857,9339.892857142857,7639.75
d_412,12217,10192,8343,2012-03-15,14342.964285714286,9426.964285714286,7707.107142857143
d_413,13203,9867,7881,2012-03-16,14353.0,9506.035714285714,7737.535714285715
d_414,18035,10571,9298,2012-03-17,14394.535714285714,9512.75,7735.071428571428
d_415,17657,11908,8129,2012-03-18,14448.035714285714,9518.5,7724.25
d_416,13338,9190,6659,2012-03-19,14388.25,9528.607142857143,7737.107142857143
d_417,11847,7490,6196,2012-03-20,14393.67857142857,9527.214285714286,7745.321428571428
d_418,11486,8107,6634,2012-03-21,14416.5,9563.5,7761.642857142857
d_419,11851,8128,6036,2012-03-22,14428.82142857143,9588.67857142857,7752.857142857143
d_420,13339,8995,6721,2012-03-23,14415.67857142857,9627.285714285714,7769.714285714285
d_421,16871,11133,9085,2012-03-24,14426.964285714286,9674.857142857143,7758.0
d_422,18402,11664,7777,2012-03-25,14489.82142857143,9681.214285714286,7744.571428571428
d_423,12909,8595,5678,2012-03-26,14511.357142857143,9681.82142857143,7719.285714285715
d_424,10868,7899,5882,2012-03-27,14512.857142857143,9697.0,7712.964285714285
d_425,11820,7311,5652,2012-03-28,14533.67857142857,9687.75,7700.714285714285
d_426,10902,7304,5673,2012-03-29,14446.42857142857,9612.964285714286,7635.857142857143
d_427,14468,9012,7252,2012-03-30,14424.92857142857,9606.75,7598.892857142857
d_428,17706,11017,9740,2012-03-31,14393.035714285714,9590.25,7545.285714285715
d_429,18364,13427,7992,2012-04-01,14346.785714285714,9657.07142857143,7505.357142857143
d_430,14409,8717,8233,2012-04-02,14343.714285714286,9608.0,7509.5
d_431,14685,10213,8135,2012-04-03,14378.392857142857,9644.25,7492.178571428572
d_432,13210,8372,6736,2012-04-04,14370.035714285714,9635.285714285714,7499.142857142857
d_433,14080,9582,7706,2012-04-05,14390.392857142857,9680.357142857143,7491.178571428572
d_434,16567,11741,9237,2012-04-06,14446.392857142857,9797.392857142857,7504.678571428572
d_435,21332,14331,9975,2012-04-07,14540.642857142857,9898.214285714286,7526.714285714285
d_436,16717,12377,7116,2012-04-08,14427.142857142857,9912.642857142857,7468.571428571428
d_437,14798,9553,7642,2012-04-09,14448.214285714286,9873.142857142857,7468.857142857143
d_438,13265,8757,6778,2012-04-10,14492.42857142857,9813.607142857143,7473.464285714285
d_439,12768,9372,7435,2012-04-11,14539.785714285714,9815.17857142857,7486.464285714285
d_440,11970,8998,7600,2012-04-12,14530.964285714286,9772.535714285714,7459.928571428572
d_441,13809,10255,7874,2012-04-13,14552.607142857143,9786.392857142857,7459.678571428572
d_442,17340,11717,9489,2012-04-14,14527.785714285714,9827.32142857143,7466.5
d_443,16661,13304,8742,2012-04-15,14492.214285714286,9877.17857142857,7488.392857142857
d_444,12652,8285,6735,2012-04-16,14467.714285714286,9844.857142857143,7491.107142857143
d_445,11179,8696,6192,2012-04-17,14443.857142857143,9887.92857142857,7490.964285714285
d_446,11358,7849,5492,2012-04-18,14439.285714285714,9878.714285714286,7450.178571428572
d_447,11805,8022,4997,2012-04-19,14437.642857142857,9874.92857142857,7413.071428571428
d_448,13739,7946,6458,2012-04-20,14451.92857142857,9837.464285714286,7403.678571428572
d_449,17336,10893,8479,2012-04-21,14468.535714285714,9828.892857142857,7382.035714285715
d_450,17793,11660,7311,2012-04-22,14446.785714285714,9828.75,7365.392857142857
d_451,12217,8879,5574,2012-04-23,14422.07142857143,9838.892857142857,7361.678571428572
d_452,11545,7727,5576,2012-04-24,14446.25,9832.75,7350.75
d_453,11052,7873,5523,2012-04-25,14418.82142857143,9852.82142857143,7346.142857142857
d_454,11014,7832,5684,2012-04-26,14422.82142857143,9871.67857142857,7346.535714285715
d_455,13571,8572,6834,2012-04-27,14390.785714285714,9855.964285714286,7331.607142857143
d_456,16121,10820,8706,2012-04-28,14334.17857142857,9848.92857142857,7294.678571428572
d_457,16904,11736,7484,2012-04-29,14282.035714285714,9788.535714285714,7276.535714285715
d_458,12736,8617,6003,2012-04-30,14222.285714285714,9784.964285714286,7196.892857142857
d_459,13593,9577,7120,2012-05-01,14183.285714285714,9762.25,7160.642857142857
d_460,12967,8471,7801,2012-05-02,14174.607142857143,9765.785714285714,7198.678571428572
d_461,14081,10032,8846,2012-05-03,14174.642857142857,9781.857142857143,7239.392857142857
d_462,14797,9702,8433,2012-05-04,14111.42857142857,9709.035714285714,7210.678571428572
d_463,16234,12783,10184,2012-05-05,13929.357142857143,9653.75,7218.142857142857
d_464,18559,13623,9347,2012-05-06,13995.142857142857,9698.25,7297.821428571428
d_465,15317,11079,7081,2012-05-07,14013.67857142857,9752.75,7277.785714285715
d_466,14245,8512,7676,2012-05-08,14048.67857142857,9744.0,7309.857142857143
d_467,13234,9165,7805,2012-05-09,14065.32142857143,9736.607142857143,7323.071428571428
d_468,13339,8095,6730,2012-05-10,14114.214285714286,9704.357142857143,7292.0
d_469,14784,9271,8759,2012-05-11,14149.035714285714,9669.214285714286,7323.607142857143
d_470,17860,12271,10741,2012-05-12,14167.607142857143,9689.0,7368.321428571428
d_471,14807,11677,7285,2012-05-13,14101.392857142857,9630.892857142857,7316.285714285715
d_472,13120,9793,8670,2012-05-14,14118.107142857143,9684.75,7385.392857142857
d_473,13144,9832,8782,2012-05-15,14188.285714285714,9725.32142857143,7477.892857142857
d_474,12590,8694,7393,2012-05-16,14232.285714285714,9755.5,7545.785714285715
d_475,12219,8195,6909,2012-05-17,14247.07142857143,9761.67857142857,7614.071428571428
d_476,14797,9440,8074,2012-05-18,14284.857142857143,9815.035714285714,7671.785714285715
d_477,17400,11211,9318,2012-05-19,14287.142857142857,9826.392857142857,7701.75
d_478,18147,12453,8914,2012-05-20,14299.785714285714,9854.714285714286,7759.0
d_479,13282,8744,6779,2012-05-21,14337.82142857143,9849.892857142857,7802.035714285715
d_480,11964,8943,6595,2012-05-22,14352.785714285714,9893.32142857143,7838.428571428572
d_481,11560,8299,6764,2012-05-23,14370.92857142857,9908.535714285714,7882.75
d_482,12118,8841,7004,2012-05-24,14410.357142857143,9944.57142857143,7929.892857142857
d_483,14411,9786,8600,2012-05-25,14440.357142857143,9987.92857142857,7992.964285714285
d_484,15753,11905,9581,2012-05-26,14427.214285714286,10026.67857142857,8024.214285714285
d_485,14766,11382,7705,2012-05-27,14350.857142857143,10014.035714285714,8032.107142857143
d_486,14997,11254,7156,2012-05-28,14431.607142857143,10108.214285714286,8073.285714285715
d_487,12934,9172,6514,2012-05-29,14408.07142857143,10093.75,8051.642857142857
d_488,12078,8441,6631,2012-05-30,14376.32142857143,10092.67857142857,8009.857142857143
d_489,13501,8090,7218,2012-05-31,14355.607142857143,10023.32142857143,7951.714285714285
d_490,16806,12246,10477,2012-06-01,14427.357142857143,10114.17857142857,8024.714285714285
d_491,19460,12716,12767,2012-06-02,14542.57142857143,10111.785714285714,8116.964285714285
d_492,19136,13271,11503,2012-06-03,14563.17857142857,10099.214285714286,8193.964285714286
d_493,14681,10216,8397,2012-06-04,14540.464285714286,10068.392857142857,8240.964285714286
d_494,14299,10210,9497,2012-06-05,14542.392857142857,10129.035714285714,8306.0
d_495,13663,10184,9740,2012-06-06,14557.714285714286,10165.42857142857,8375.107142857143
d_496,14102,10584,7849,2012-06-07,14584.964285714286,10254.32142857143,8415.07142857143
d_497,15783,10007,11111,2012-06-08,14620.642857142857,10280.607142857143,8499.07142857143
d_498,17841,12964,12504,2012-06-09,14619.964285714286,10305.357142857143,8562.035714285714
d_499,20274,13861,10809,2012-06-10,14815.214285714286,10383.357142857143,8687.892857142857
d_500,16775,12000,10861,2012-06-11,14945.75,10462.17857142857,8766.142857142857
d_501,14676,10051,10347,2012-06-12,15000.464285714286,10470.0,8822.035714285714
d_502,13940,10428,8562,2012-06-13,15048.67857142857,10531.92857142857,8863.785714285714
d_503,14393,9470,9919,2012-06-14,15126.32142857143,10577.464285714286,8971.285714285714
d_504,17087,12276,12435,2012-06-15,15208.107142857143,10678.75,9127.035714285714
d_505,19531,13073,11834,2012-06-16,15284.214285714286,10745.25,9216.892857142857
d_506,17345,12530,9164,2012-06-17,15255.57142857143,10748.0,9225.82142857143
d_507,15141,10337,8622,2012-06-18,15321.964285714286,10804.892857142857,9291.642857142857
d_508,14078,8837,9052,2012-06-19,15397.464285714286,10801.107142857143,9379.392857142857
d_509,13617,9277,8574,2012-06-20,15470.92857142857,10836.035714285714,9444.035714285714
d_510,13504,8936,8324,2012-06-21,15520.42857142857,10839.42857142857,9491.17857142857
d_511,16055,10678,9744,2012-06-22,15579.142857142857,10871.285714285714,9532.035714285714
d_512,17793,12009,10208,2012-06-23,15652.0,10875.0,9554.42857142857
d_513,18336,12518,9655,2012-06-24,15779.5,10915.57142857143,9624.07142857143
d_514,13793,10251,7803,2012-06-25,15736.5,10879.75,9647.17857142857
d_515,12368,9153,7850,2012-06-26,15716.285714285714,10879.07142857143,9694.892857142857
d_516,12521,8784,7580,2012-06-27,15732.107142857143,10891.32142857143,9728.785714285714
d_517,13366,8339,7880,2012-06-28,15727.285714285714,10900.214285714286,9752.42857142857
d_518,15521,10385,10471,2012-06-29,15681.392857142857,10833.75,9752.214285714286
d_519,17961,11189,11444,2012-06-30,15627.857142857143,10779.214285714286,9704.964285714286
d_520,18577,12257,9865,2012-07-01,15607.892857142857,10743.0,9646.464285714286
d_521,15238,9544,11081,2012-07-02,15627.785714285714,10719.0,9742.32142857143
d_522,16147,10825,12570,2012-07-03,15693.785714285714,10740.964285714286,9852.07142857143
d_523,13944,9860,8852,2012-07-04,15703.82142857143,10729.392857142857,9820.357142857143
d_524,13675,9626,11107,2012-07-05,15688.57142857143,10695.17857142857,9936.714285714286
d_525,16184,11319,12488,2012-07-06,15702.892857142857,10742.035714285714,9985.892857142857
d_526,17614,12879,10938,2012-07-07,15694.785714285714,10739.0,9929.964285714286
d_527,19172,11795,11705,2012-07-08,15655.42857142857,10665.214285714286,9961.964285714286
d_528,15720,9576,10474,2012-07-09,15617.75,10578.642857142857,9948.142857142857
d_529,15098,8763,8726,2012-07-10,15632.82142857143,10532.642857142857,9890.25
d_530,13924,9426,9722,2012-07-11,15632.25,10496.857142857143,9931.67857142857
d_531,13841,9163,10073,2012-07-12,15612.535714285714,10485.892857142857,9937.17857142857
d_532,15643,10867,10072,2012-07-13,15560.964285714286,10435.57142857143,9852.785714285714
d_533,17819,12206,12323,2012-07-14,15499.82142857143,10404.607142857143,9870.25
d_534,18103,13205,12381,2012-07-15,15526.892857142857,10428.714285714286,9985.142857142857
d_535,14147,9364,9509,2012-07-16,15491.392857142857,10393.964285714286,10016.82142857143
d_536,13532,8462,8424,2012-07-17,15471.892857142857,10380.57142857143,9994.392857142857
d_537,12834,8374,7708,2012-07-18,15443.92857142857,10348.32142857143,9963.464285714286
d_538,14045,9051,7768,2012-07-19,15463.25,10352.42857142857,9943.607142857143
d_539,15803,10581,9018,2012-07-20,15454.25,10348.964285714286,9917.67857142857
d_540,17811,11633,10100,2012-07-21,15454.892857142857,10335.535714285714,9913.82142857143
d_541,18734,12342,8876,2012-07-22,15469.107142857143,10329.25,9886.0
d_542,14194,8742,7928,2012-07-23,15483.42857142857,10275.357142857143,9890.464285714286
d_543,13219,8656,7604,2012-07-24,15513.82142857143,10257.607142857143,9881.67857142857
d_544,12805,8142,7407,2012-07-25,15523.964285714286,10234.67857142857,9875.5
d_545,13096,8255,7187,2012-07-26,15514.32142857143,10231.67857142857,9850.75
d_546,14101,9333,8406,2012-07-27,15463.607142857143,10194.107142857143,9777.0
d_547,15373,10809,8406,2012-07-28,15371.17857142857,10180.535714285714,9668.5
d_548,16011,11602,8534,2012-07-29,15279.535714285714,10157.142857142857,9620.964285714286
d_549,12750,8683,7500,2012-07-30,15190.67857142857,10126.392857142857,9493.07142857143
d_550,13568,8606,7357,2012-07-31,15098.57142857143,10047.142857142857,9306.892857142857
d_551,14121,10608,9241,2012-08-01,15104.892857142857,10073.857142857143,9320.785714285714
d_552,15275,9864,10121,2012-08-02,15162.035714285714,10082.357142857143,9285.57142857143
d_553,16593,11185,11733,2012-08-03,15176.642857142857,10077.57142857143,9258.607142857143
d_554,18433,12626,10217,2012-08-04,15205.892857142857,10068.535714285714,9232.857142857143
d_555,19272,12506,11231,2012-08-05,15209.464285714286,10093.92857142857,9215.92857142857
d_556,16003,11093,9928,2012-08-06,15219.57142857143,10148.107142857143,9196.42857142857
d_557,14359,10129,7906,2012-08-07,15193.17857142857,10196.892857142857,9167.142857142857
d_558,14237,8853,9211,2012-08-08,15204.357142857143,10176.42857142857,9148.892857142857
d_559,14908,10141,9959,2012-08-09,15242.464285714286,10211.357142857143,9144.82142857143
d_560,16846,9842,9777,2012-08-10,15285.42857142857,10174.75,9134.285714285714
d_561,19618,13363,11100,2012-08-11,15349.67857142857,10216.07142857143,9090.607142857143
d_562,19675,14274,11849,2012-08-12,15405.82142857143,10254.25,9071.607142857143
d_563,15647,11784,8599,2012-08-13,15459.392857142857,10340.67857142857,9039.107142857143
d_564,15103,9529,9680,2012-08-14,15515.5,10378.785714285714,9083.964285714286
d_565,14431,10688,10378,2012-08-15,15572.535714285714,10461.42857142857,9179.32142857143
d_566,14885,10244,9276,2012-08-16,15602.535714285714,10504.035714285714,9233.17857142857
d_567,15667,10706,9084,2012-08-17,15597.67857142857,10508.5,9235.535714285714
d_568,19446,11742,10333,2012-08-18,15656.07142857143,10512.392857142857,9243.857142857143
d_569,20637,13269,9458,2012-08-19,15724.035714285714,10545.5,9264.642857142857
d_570,14856,9809,7745,2012-08-20,15747.67857142857,10583.607142857143,9258.107142857143
d_571,13795,8754,7657,2012-08-21,15768.25,10587.107142857143,9260.0
d_572,13279,8666,6977,2012-08-22,15785.17857142857,10605.82142857143,9244.642857142857
d_573,12454,8916,7182,2012-08-23,15762.25,10629.42857142857,9244.464285714286
d_574,14717,9910,8417,2012-08-24,15784.25,10650.035714285714,9244.857142857143
d_575,17991,12399,9574,2012-08-25,15877.75,10706.82142857143,9286.57142857143
d_576,18447,13402,9172,2012-08-26,15964.75,10771.107142857143,9309.357142857143
d_577,13487,9860,7663,2012-08-27,15991.07142857143,10813.142857142857,9315.17857142857
d_578,12446,8626,7400,2012-08-28,15951.0,10813.857142857143,9316.714285714286
d_579,12216,7822,7063,2012-08-29,15882.964285714286,10714.357142857143,9238.92857142857
d_580,12468,8389,7446,2012-08-30,15782.714285714286,10661.67857142857,9143.392857142857
d_581,15594,10350,11148,2012-08-31,15747.035714285714,10631.857142857143,9122.5
d_582,19396,13998,11236,2012-09-01,15781.42857142857,10680.857142857143,9158.892857142857
d_583,18287,12397,12135,2012-09-02,15746.25,10676.964285714286,9191.17857142857
d_584,19074,13484,11967,2012-09-03,15855.92857142857,10762.357142857143,9264.0
d_585,14368,9054,8457,2012-09-04,15856.25,10723.964285714286,9283.67857142857
d_586,13105,9408,9341,2012-09-05,15815.82142857143,10743.785714285714,9288.32142857143
d_587,13466,9868,9241,2012-09-06,15764.32142857143,10734.035714285714,9262.67857142857
d_588,15010,11088,8677,2012-09-07,15698.75,10778.535714285714,9223.392857142857
d_589,18574,12389,12255,2012-09-08,15661.464285714286,10743.75,9264.642857142857
d_590,20447,13874,12328,2012-09-09,15689.035714285714,10729.464285714286,9281.75
d_591,15467,9698,7807,2012-09-10,15682.607142857143,10654.964285714286,9253.464285714286
d_592,13975,9248,9147,2012-09-11,15642.32142857143,10644.92857142857,9234.42857142857
d_593,12376,9088,9554,2012-09-12,15568.92857142857,10587.785714285714,9205.0
d_594,13077,9025,8040,2012-09-13,15504.357142857143,10544.25,9160.857142857143
d_595,14995,10174,11190,2012-09-14,15480.357142857143,10525.25,9236.07142857143
d_596,18557,13821,13581,2012-09-15,15448.607142857143,10599.5,9352.07142857143
d_597,19480,13502,11304,2012-09-16,15407.285714285714,10607.82142857143,9418.0
d_598,13539,10041,8280,2012-09-17,15360.25,10616.107142857143,9437.107142857143
d_599,12917,8364,7995,2012-09-18,15328.892857142857,10602.17857142857,9449.17857142857
d_600,11513,8221,7331,2012-09-19,15265.82142857143,10586.285714285714,9461.82142857143
d_601,12446,8486,7625,2012-09-20,15265.535714285714,10570.92857142857,9477.642857142857
d_602,14819,9852,8963,2012-09-21,15269.17857142857,10568.857142857143,9497.142857142857
d_603,18583,12772,10534,2012-09-22,15290.32142857143,10582.17857142857,9531.42857142857
d_604,18358,13063,9941,2012-09-23,15287.142857142857,10570.07142857143,9558.892857142857
d_605,13141,9124,6911,2012-09-24,15274.785714285714,10543.785714285714,9532.035714285714
d_606,12357,8552,7070,2012-09-25,15271.607142857143,10541.142857142857,9520.25
d_607,11735,8337,6860,2012-09-26,15254.42857142857,10559.535714285714,9513.0
d_608,12002,8238,6991,2012-09-27,15237.785714285714,10554.142857142857,9496.75
d_609,14550,9331,8775,2012-09-28,15200.5,10517.75,9412.0
d_610,18164,11862,10955,2012-09-29,15156.5,10441.464285714286,9401.964285714286
d_611,18310,12086,9340,2012-09-30,15157.32142857143,10430.357142857143,9302.142857142857
d_612,15728,11017,8096,2012-10-01,15037.82142857143,10342.25,9163.892857142857
d_613,15113,9059,9658,2012-10-02,15064.42857142857,10342.42857142857,9206.785714285714
d_614,14297,9821,10102,2012-10-03,15107.0,10357.17857142857,9233.964285714286
d_615,13337,8576,8162,2012-10-04,15102.392857142857,10311.035714285714,9195.42857142857
d_616,14559,10156,9873,2012-10-05,15086.285714285714,10277.75,9238.142857142857
d_617,18576,12825,12639,2012-10-06,15086.357142857143,10293.32142857143,9251.857142857143
d_618,18997,13041,9834,2012-10-07,15034.57142857143,10263.57142857143,9162.785714285714
d_619,15393,9386,9011,2012-10-08,15031.92857142857,10252.42857142857,9205.785714285714
d_620,13502,9538,9255,2012-10-09,15015.035714285714,10262.785714285714,9209.642857142857
d_621,12974,8919,8076,2012-10-10,15036.392857142857,10256.75,9156.857142857143
d_622,11826,9360,8812,2012-10-11,14991.714285714286,10268.714285714286,9184.42857142857
d_623,14209,10577,10266,2012-10-12,14963.642857142857,10283.107142857143,9151.42857142857
d_624,17236,13634,11356,2012-10-13,14916.464285714286,10276.42857142857,9071.964285714286
d_625,17899,13183,11155,2012-10-14,14860.0,10265.035714285714,9066.642857142857
d_626,12972,11156,9556,2012-10-15,14839.75,10304.857142857143,9112.214285714286
d_627,11722,8284,7863,2012-10-16,14797.07142857143,10302.0,9107.5
d_628,11706,8733,6664,2012-10-17,14803.964285714286,10320.285714285714,9083.67857142857
d_629,11551,8418,6200,2012-10-18,14772.0,10317.857142857143,9032.785714285714
d_630,12990,9109,7612,2012-10-19,14706.67857142857,10291.32142857143,8984.535714285714
d_631,16664,11439,8586,2012-10-20,14638.142857142857,10243.714285714286,8914.964285714286
d_632,17360,12209,7418,2012-10-21,14602.5,10213.214285714286,8824.857142857143
d_633,12433,8776,5503,2012-10-22,14577.214285714286,10200.785714285714,8774.57142857143
d_634,11249,8167,6003,2012-10-23,14537.642857142857,10187.035714285714,8736.464285714286
d_635,10546,8201,5643,2012-10-24,14495.17857142857,10182.17857142857,8693.0
d_636,10821,7807,5684,2012-10-25,14453.0,10166.785714285714,8646.32142857143
d_637,12461,8721,10681,2012-10-26,14378.392857142857,10145.0,8714.392857142857
d_638,15999,10430,12118,2012-10-27,14301.07142857143,10093.857142857143,8755.92857142857
d_639,16457,10910,9817,2012-10-28,14234.892857142857,10051.857142857143,8772.964285714286
d_640,12014,8160,7407,2012-10-29,14102.25,9949.82142857143,8748.357142857143
d_641,12499,8066,7515,2012-10-30,14008.892857142857,9914.357142857143,8671.82142857143
d_642,9984,7704,7287,2012-10-31,13854.857142857143,9838.75,8571.285714285714
d_643,12550,9145,9356,2012-11-01,13826.75,9859.07142857143,8613.92857142857
d_644,14256,9280,11978,2012-11-02,13815.92857142857,9827.785714285714,8689.107142857143
d_645,18203,11805,15071,2012-11-03,13802.607142857143,9791.357142857143,8775.964285714286
d_646,18597,12091,11857,2012-11-04,13788.32142857143,9757.42857142857,8848.214285714286
d_647,13423,9469,10165,2012-11-05,13717.964285714286,9760.392857142857,8889.42857142857
d_648,12078,8653,9783,2012-11-06,13667.107142857143,9728.785714285714,8908.285714285714
d_649,12254,9080,8349,2012-11-07,13641.392857142857,9734.535714285714,8918.035714285714
d_650,12254,8354,10149,2012-11-08,13656.67857142857,9698.607142857143,8965.785714285714
d_651,14020,10011,11691,2012-11-09,13649.92857142857,9678.392857142857,9016.67857142857
d_652,18128,11467,13289,2012-11-10,13681.785714285714,9601.0,9085.714285714286
d_653,17170,12743,13604,2012-11-11,13655.75,9585.285714285714,9173.17857142857
d_654,13310,9435,10468,2012-11-12,13667.82142857143,9523.82142857143,9205.75
d_655,11167,8507,8634,2012-11-13,13648.0,9531.785714285714,9233.285714285714
d_656,10396,7757,9682,2012-11-14,13601.214285714286,9496.92857142857,9341.07142857143
d_657,10950,8808,9955,2012-11-15,13579.75,9510.857142857143,9475.17857142857
d_658,12996,8681,9939,2012-11-16,13579.964285714286,9495.57142857143,9558.285714285714
d_659,16701,11297,12443,2012-11-17,13581.285714285714,9490.5,9696.035714285714
d_660,16316,10920,10340,2012-11-18,13544.0,9444.464285714286,9800.392857142857
d_661,12791,8803,7736,2012-11-19,13556.785714285714,9445.42857142857,9880.142857142857
d_662,12980,9077,8217,2012-11-20,13618.607142857143,9477.92857142857,9959.214285714286
d_663,13964,11863,9381,2012-11-21,13740.67857142857,9608.714285714286,10092.714285714286
d_664,8002,8259,5648,2012-11-22,13640.0,9624.857142857143,10091.42857142857
d_665,9717,7014,6692,2012-11-23,13542.0,9563.892857142857,9948.964285714286
