d,CA_1,CA_2,CA_3,CA_4,TX_1,TX_2,TX_3,WI_1,WI_2,WI_3,date,CA_1_rolling_28,CA_2_rolling_28,CA_3_rolling_28,CA_4_rolling_28,TX_1_rolling_28,TX_2_rolling_28,TX_3_rolling_28,WI_1_rolling_28,WI_2_rolling_28,WI_3_rolling_28
d_288,4292,3454,5570,2016,3249,4340,3193,2349,2309,5150,2011-11-12,3351.1071428571427,2562.9285714285716,5014.928571428572,1852.392857142857,2408.1071428571427,3393.6071428571427,2693.535714285714,1665.642857142857,1652.3214285714287,3446.3571428571427
d_289,4150,3440,6110,1884,3464,4551,3639,1858,1737,4515,2011-11-13,3347.535714285714,2564.9285714285716,5005.642857142857,1838.0714285714287,2407.9285714285716,3382.1428571428573,2697.6785714285716,1668.25,1646.75,3454.1785714285716
d_290,3035,2204,4686,1740,2434,3089,2939,1415,1801,3430,2011-11-14,3357.3214285714284,2565.9285714285716,4978.928571428572,1828.7142857142858,2401.464285714286,3376.6428571428573,2696.1071428571427,1665.5357142857142,1657.3214285714287,3455.8928571428573
d_291,2707,1975,4380,1798,2471,3155,2788,1470,1907,4050,2011-11-15,3364.9285714285716,2563.285714285714,4975.964285714285,1830.7142857142858,2410.25,3374.75,2710.214285714286,1667.5357142857142,1676.1785714285713,3499.285714285714
d_292,2495,2081,4126,1579,2071,2870,2485,1655,1489,3077,2011-11-16,3363.3214285714284,2565.25,4976.714285714285,1830.8214285714287,2413.5,3377.5,2716.5,1674.9285714285713,1684.25,3523.4285714285716
d_293,2388,2171,4050,1635,2127,3000,2079,1152,1584,2928,2011-11-17,3353.8214285714284,2572.1428571428573,4975.035714285715,1831.3214285714287,2422.8928571428573,3382.964285714286,2714.3571428571427,1663.142857142857,1696.5357142857142,3539.4285714285716
d_294,3012,2459,4881,1754,2204,2973,2424,1845,1628,3327,2011-11-18,3338.6071428571427,2554.3214285714284,4988.75,1833.0,2422.6785714285716,3373.1785714285716,2712.1785714285716,1665.8214285714287,1699.857142857143,3541.0
d_295,4681,3413,6031,2019,2643,3898,2947,2026,1827,4060,2011-11-19,3354.25,2554.714285714286,4992.035714285715,1834.7142857142858,2417.464285714286,3360.75,2712.1785714285716,1664.9642857142858,1699.0,3553.3928571428573
d_296,4415,3280,5812,2039,2901,3991,3249,1651,1450,3965,2011-11-20,3357.6785714285716,2560.285714285714,4985.178571428572,1826.75,2418.1071428571427,3350.535714285714,2711.535714285714,1659.642857142857,1696.107142857143,3573.25
d_297,3209,2303,4780,1921,2043,3185,2697,1411,1315,2710,2011-11-21,3369.5,2567.1428571428573,4993.392857142857,1831.7142857142858,2417.964285714286,3344.75,2720.785714285714,1664.0714285714287,1697.0,3570.535714285714
d_298,3637,2268,4520,1622,2182,3200,2431,1586,1334,2874,2011-11-22,3409.5,2578.214285714286,5003.428571428572,1833.7857142857142,2427.25,3361.8928571428573,2726.285714285714,1674.0,1697.9642857142858,3579.4285714285716
d_299,3663,2582,5311,2031,3018,3976,3471,1567,1649,3519,2011-11-23,3456.6428571428573,2599.3571428571427,5057.678571428572,1848.392857142857,2462.8571428571427,3401.0714285714284,2773.285714285714,1672.357142857143,1708.0357142857142,3620.8214285714284
d_300,1941,1155,3130,1130,2268,3131,1962,620,682,2408,2011-11-24,3428.8214285714284,2565.6428571428573,5024.964285714285,1833.25,2477.3928571428573,3410.0,2768.964285714286,1636.4285714285713,1681.0714285714287,3611.285714285714
d_301,3162,2490,3768,1306,1996,2602,2192,1900,1699,2883,2011-11-25,3428.8214285714284,2560.8928571428573,5009.25,1818.2857142857142,2468.8928571428573,3387.964285714286,2765.785714285714,1631.7857142857142,1673.4642857142858,3589.75
d_302,3077,2792,4275,1618,1909,2696,2318,2147,1566,2894,2011-11-26,3390.0714285714284,2540.0714285714284,4954.321428571428,1791.2857142857142,2437.0714285714284,3349.9285714285716,2744.5714285714284,1625.0357142857142,1663.9285714285713,3555.5
d_303,3341,2677,4747,1949,2321,3284,2445,1749,1523,3098,2011-11-27,3358.4285714285716,2506.75,4913.035714285715,1778.142857142857,2423.6785714285716,3332.4285714285716,2718.4285714285716,1631.7142857142858,1667.6785714285713,3552.964285714286
d_304,2514,2215,3957,1815,1922,2472,1948,1442,1512,2581,2011-11-28,3361.25,2505.214285714286,4915.678571428572,1785.2857142857142,2422.25,3319.1785714285716,2701.8214285714284,1636.392857142857,1672.25,3552.6071428571427
d_305,2628,2004,3771,1590,1778,2470,2057,1352,1324,2610,2011-11-29,3356.035714285714,2505.535714285714,4881.285714285715,1785.25,2393.714285714286,3300.1428571428573,2675.1428571428573,1626.892857142857,1656.5357142857142,3532.285714285714
d_306,2412,2015,3614,1414,1840,2616,1858,1483,1411,2426,2011-11-30,3335.8571428571427,2503.535714285714,4847.285714285715,1778.142857142857,2387.6785714285716,3292.3928571428573,2657.6071428571427,1634.5,1645.642857142857,3497.3571428571427
d_307,2699,2163,4944,1766,2361,3072,2620,1654,2076,2913,2011-12-01,3324.6071428571427,2501.5714285714284,4845.321428571428,1779.0357142857142,2394.5,3287.785714285714,2650.3928571428573,1634.7857142857142,1646.892857142857,3456.75
d_308,3504,2503,5237,2082,2241,3052,2448,1930,2141,4589,2011-12-02,3315.9285714285716,2505.8571428571427,4843.928571428572,1787.4642857142858,2403.4285714285716,3276.0714285714284,2648.6428571428573,1639.7142857142858,1654.8214285714287,3486.1785714285716
d_309,4832,3853,6284,2384,3239,4187,3192,2407,2537,5214,2011-12-03,3327.25,2516.8571428571427,4847.321428571428,1799.607142857143,2399.25,3275.3571428571427,2646.785714285714,1640.142857142857,1659.3214285714287,3494.5
d_310,4632,3267,6616,2209,2920,3973,3243,1960,1913,4345,2011-12-04,3319.3928571428573,2510.8571428571427,4846.892857142857,1789.6785714285713,2386.214285714286,3252.535714285714,2630.0714285714284,1648.392857142857,1657.0357142857142,3465.0
d_311,3367,2354,5745,1707,2464,3254,2697,1859,1836,3937,2011-12-05,3322.3571428571427,2509.6785714285716,4868.607142857143,1784.7142857142858,2380.464285714286,3246.3571428571427,2623.1428571428573,1667.357142857143,1673.9642857142858,3498.785714285714
d_312,2960,2152,4937,1724,2339,3430,2588,1556,1800,3781,2011-12-06,3309.5714285714284,2510.535714285714,4867.785714285715,1789.8214285714287,2392.964285714286,3275.6785714285716,2637.1785714285716,1673.0357142857142,1680.5357142857142,3512.5714285714284
d_313,2889,2068,4840,1797,2325,3107,2418,1557,1396,3056,2011-12-07,3313.464285714286,2513.25,4866.25,1790.1785714285713,2392.4285714285716,3281.0,2621.9285714285716,1681.642857142857,1676.2857142857142,3490.4285714285716
d_314,3331,2342,4719,1741,1922,2811,1968,1562,1943,4008,2011-12-08,3315.3928571428573,2517.5714285714284,4850.464285714285,1791.0714285714287,2389.714285714286,3277.035714285714,2610.3214285714284,1681.9285714285713,1683.142857142857,3517.3571428571427
d_315,3435,2611,5039,1900,2617,3408,2376,1814,1788,4450,2011-12-09,3300.285714285714,2510.3928571428573,4852.857142857143,1791.7857142857142,2402.464285714286,3278.3214285714284,2595.4285714285716,1677.75,1684.892857142857,3528.5
d_316,4575,3500,6266,1989,2671,3701,2833,2308,2135,4808,2011-12-10,3310.3928571428573,2512.035714285714,4877.714285714285,1790.8214285714287,2381.8214285714284,3255.5,2582.5714285714284,1676.2857142857142,1678.6785714285713,3516.285714285714
d_317,4312,3185,6138,2321,3589,4225,3469,1687,1985,4832,2011-12-11,3316.1785714285716,2502.9285714285716,4878.714285714285,1806.4285714285713,2386.285714285714,3243.8571428571427,2576.5,1670.1785714285713,1687.5357142857142,3527.6071428571427
d_318,3267,2373,5216,1835,2610,3565,3019,1444,1813,4009,2011-12-12,3324.464285714286,2508.964285714286,4897.642857142857,1809.8214285714287,2392.5714285714284,3260.8571428571427,2579.3571428571427,1671.2142857142858,1687.9642857142858,3548.285714285714
d_319,2946,2320,4831,1636,2571,3665,2645,1516,1625,3158,2011-12-13,3333.0,2521.285714285714,4913.75,1804.0357142857142,2396.1428571428573,3279.0714285714284,2574.25,1672.857142857143,1677.892857142857,3516.4285714285716
d_320,2871,2318,4314,1459,2496,3428,2633,1445,1888,3942,2011-12-14,3346.4285714285716,2529.75,4920.464285714285,1799.75,2411.3214285714284,3299.0,2579.535714285714,1665.357142857143,1692.142857142857,3547.3214285714284
d_321,3109,2476,4906,1724,2841,3807,2910,1577,2276,4018,2011-12-15,3372.1785714285716,2540.6428571428573,4951.035714285715,1802.9285714285713,2436.8214285714284,3327.8214285714284,2609.214285714286,1680.5357142857142,1716.857142857143,3586.25
d_322,3399,2465,4980,1853,2563,3496,2462,1866,1810,3991,2011-12-16,3386.0,2540.8571428571427,4954.571428571428,1806.4642857142858,2449.6428571428573,3346.5,2610.5714285714284,1681.2857142857142,1723.357142857143,3609.964285714286
d_323,4463,3494,5648,1917,3111,4000,2887,2315,2133,4191,2011-12-17,3378.214285714286,2543.75,4940.892857142857,1802.8214285714287,2466.3571428571427,3350.1428571428573,2608.4285714285716,1691.607142857143,1734.2857142857142,3614.6428571428573
d_324,4253,3430,5573,2178,2659,3745,2947,1787,1653,3862,2011-12-18,3372.4285714285716,2549.1071428571427,4932.357142857143,1807.7857142857142,2457.714285714286,3341.3571428571427,2597.6428571428573,1696.4642857142858,1741.5357142857142,3610.964285714286
d_325,3333,2387,4973,1917,2208,3174,2629,1744,1616,3087,2011-12-19,3376.8571428571427,2552.1071428571427,4939.25,1807.642857142857,2463.6071428571427,3340.964285714286,2595.214285714286,1708.357142857143,1752.2857142857142,3624.4285714285716
d_326,3236,2549,4424,1814,2216,3048,2393,1848,1709,3025,2011-12-20,3362.535714285714,2562.1428571428573,4935.821428571428,1814.5,2464.8214285714284,3335.535714285714,2593.8571428571427,1717.7142857142858,1765.6785714285713,3629.8214285714284
d_327,3367,2774,4347,1694,2410,3295,2469,1750,1654,2902,2011-12-21,3351.964285714286,2569.0,4901.392857142857,1802.4642857142858,2443.1071428571427,3311.214285714286,2558.0714285714284,1724.25,1765.857142857143,3607.785714285714
d_328,3609,2608,4639,1850,2391,3558,2647,1850,1824,3206,2011-12-22,3411.535714285714,2620.8928571428573,4955.285714285715,1828.1785714285713,2447.5,3326.464285714286,2582.535714285714,1768.1785714285713,1806.642857142857,3636.285714285714
d_329,4652,3026,5820,2267,2963,4254,2960,2262,2149,4293,2011-12-23,3464.75,2640.035714285714,5028.571428571428,1862.5,2482.035714285714,3385.464285714286,2609.964285714286,1781.107142857143,1822.7142857142858,3686.6428571428573
d_330,3454,2431,4753,1919,3041,3611,3151,1658,1933,4007,2011-12-24,3478.214285714286,2627.1428571428573,5045.642857142857,1873.25,2522.464285714286,3418.1428571428573,2639.714285714286,1763.642857142857,1835.8214285714287,3726.3928571428573
d_331,0,7,1,0,0,0,2,0,3,0,2011-12-25,3358.8928571428573,2531.785714285714,4876.142857142857,1803.642857142857,2439.5714285714284,3300.8571428571427,2552.464285714286,1701.1785714285713,1781.5357142857142,3615.75
d_332,3335,2653,4998,1404,2766,3419,2859,1576,1544,3478,2011-12-26,3388.214285714286,2547.4285714285716,4913.321428571428,1788.9642857142858,2469.714285714286,3334.6785714285716,2585.0,1705.9642857142858,1782.6785714285713,3647.785714285714
d_333,3111,2439,4530,1695,2087,3033,2154,1439,1393,2770,2011-12-27,3405.464285714286,2562.964285714286,4940.428571428572,1792.7142857142858,2480.75,3354.785714285714,2588.464285714286,1709.0714285714287,1785.142857142857,3653.5
d_334,3097,2271,4745,1624,2119,3066,2109,1603,1333,2824,2011-12-28,3429.9285714285716,2572.1071428571427,4980.821428571428,1800.2142857142858,2490.714285714286,3370.8571428571427,2597.4285714285716,1713.357142857143,1782.357142857143,3667.714285714286
d_335,3233,2505,4511,1512,2090,2859,2190,1540,1537,2564,2011-12-29,3449.0,2584.3214285714284,4965.357142857143,1791.142857142857,2481.035714285714,3363.25,2582.0714285714284,1709.2857142857142,1763.107142857143,3655.25
d_336,4638,3136,6115,1874,2662,3784,2925,2076,2314,4128,2011-12-30,3489.5,2606.9285714285716,4996.714285714285,1783.7142857142858,2496.0714285714284,3389.3928571428573,2599.1071428571427,1714.5,1769.2857142857142,3638.785714285714
d_337,4236,2548,5535,2046,2933,4142,3416,2254,2176,4465,2011-12-31,3468.214285714286,2560.3214285714284,4969.964285714285,1771.642857142857,2485.1428571428573,3387.785714285714,2607.1071428571427,1709.0357142857142,1756.392857142857,3612.035714285714
d_338,2648,2174,3978,1418,2420,2773,2031,1114,1148,2103,2012-01-01,3397.3571428571427,2521.285714285714,4875.75,1743.392857142857,2467.285714285714,3344.9285714285716,2563.8214285714284,1678.8214285714287,1729.0714285714287,3531.964285714286
d_339,3931,2987,6199,2035,2745,3722,2840,1802,2086,4706,2012-01-02,3417.5,2543.8928571428573,4891.964285714285,1755.107142857143,2477.3214285714284,3361.6428571428573,2568.9285714285716,1676.7857142857142,1738.0,3559.4285714285716
d_340,3496,2036,5371,1837,2440,3372,2533,1530,1897,4239,2012-01-03,3436.6428571428573,2539.75,4907.464285714285,1759.142857142857,2480.9285714285716,3359.5714285714284,2566.964285714286,1675.857142857143,1741.4642857142858,3575.785714285714
d_341,3284,1852,4878,1498,2223,2827,2480,1606,1831,3342,2012-01-04,3450.75,2532.035714285714,4908.821428571428,1748.4642857142858,2477.285714285714,3349.5714285714284,2569.1785714285716,1677.607142857143,1757.0,3586.0
d_342,3444,2040,5021,1778,2470,3336,2752,1576,1992,4090,2012-01-05,3454.785714285714,2521.25,4919.607142857143,1749.7857142857142,2496.8571428571427,3368.3214285714284,2597.1785714285716,1678.107142857143,1758.75,3588.9285714285716
d_343,3854,2506,4696,1753,2899,3603,2695,1983,2080,4336,2012-01-06,3469.75,2517.5,4907.357142857143,1744.5357142857142,2506.9285714285716,3375.285714285714,2608.5714285714284,1684.142857142857,1769.1785714285713,3584.8571428571427
d_344,4670,3368,6384,2212,3399,4555,3237,2362,2209,4747,2012-01-07,3473.1428571428573,2512.785714285714,4911.571428571428,1752.5,2532.9285714285716,3405.785714285714,2623.0,1686.0714285714287,1771.8214285714287,3582.6785714285716
d_345,4585,3234,7124,2318,3392,4409,3180,1753,1838,4889,2012-01-08,3482.8928571428573,2514.535714285714,4946.785714285715,1752.392857142857,2525.8928571428573,3412.3571428571427,2612.6785714285716,1688.4285714285713,1766.5714285714287,3584.714285714286
d_346,3637,2257,5679,1845,2130,2813,2230,1451,1948,4216,2012-01-09,3496.1071428571427,2510.3928571428573,4963.321428571428,1752.75,2508.75,3385.5,2584.5,1688.6785714285713,1771.392857142857,3592.1071428571427
d_347,3217,1990,5392,1593,2284,3304,2352,1477,1642,3389,2012-01-10,3505.785714285714,2498.6071428571427,4983.357142857143,1751.2142857142858,2498.5,3372.6071428571427,2574.035714285714,1687.2857142857142,1772.0,3600.3571428571427
d_348,2994,2062,4590,1824,2550,3272,2729,1908,2214,4901,2012-01-11,3510.1785714285716,2489.464285714286,4993.214285714285,1764.25,2500.4285714285716,3367.035714285714,2577.464285714286,1703.8214285714287,1783.642857142857,3634.6071428571427
d_349,2655,2066,4163,1665,2277,3086,2538,946,2001,3318,2012-01-12,3493.964285714286,2474.8214285714284,4966.678571428572,1762.142857142857,2480.285714285714,3341.285714285714,2564.1785714285716,1681.2857142857142,1773.8214285714287,3609.6071428571427
d_350,3550,2509,5193,1846,2814,4004,2690,1581,1678,3598,2012-01-13,3499.3571428571427,2476.3928571428573,4974.285714285715,1761.892857142857,2489.25,3359.4285714285716,2572.3214285714284,1671.107142857143,1769.107142857143,3595.5714285714284
d_351,4271,3381,5904,2192,2976,4355,3151,2368,2380,5837,2012-01-14,3492.5,2472.3571428571427,4983.428571428572,1771.7142857142858,2484.4285714285716,3372.1071428571427,2581.75,1673.0,1777.9285714285713,3654.3571428571427
d_352,4111,3187,5993,2438,3361,4460,3515,1780,2042,5572,2012-01-15,3487.4285714285716,2463.6785714285716,4998.428571428572,1781.0,2509.5,3397.6428571428573,2602.035714285714,1672.75,1791.8214285714287,3715.4285714285716
d_353,3670,2666,5546,2131,2769,3591,2658,1668,1815,4034,2012-01-16,3499.464285714286,2473.6428571428573,5018.892857142857,1788.642857142857,2529.535714285714,3412.535714285714,2603.0714285714284,1670.0357142857142,1798.9285714285713,3749.25
d_354,2824,1893,4234,1574,1874,2767,2284,934,1213,2590,2012-01-17,3484.75,2450.214285714286,5012.107142857143,1780.0714285714287,2517.3214285714284,3402.5,2599.1785714285716,1637.392857142857,1781.2142857142858,3733.714285714286
d_355,2729,2097,4538,1808,2127,2727,2395,1733,1716,3478,2012-01-18,3461.964285714286,2426.035714285714,5018.928571428572,1784.142857142857,2507.214285714286,3382.214285714286,2596.535714285714,1636.7857142857142,1783.4285714285713,3754.285714285714
d_356,2782,2020,4255,1632,2167,2720,2182,1528,1700,3048,2012-01-19,3432.4285714285716,2405.035714285714,5005.214285714285,1776.357142857143,2499.214285714286,3352.285714285714,2579.9285714285716,1625.2857142857142,1779.0,3748.6428571428573
d_357,3153,2401,4825,1823,2380,3546,2515,1429,2015,3117,2012-01-20,3378.8928571428573,2382.714285714286,4969.678571428572,1760.5,2478.3928571428573,3327.0,2564.035714285714,1595.5357142857142,1774.2142857142858,3706.6428571428573
d_358,5107,4045,6786,2480,3177,4427,3002,2661,2122,4771,2012-01-21,3437.9285714285716,2440.3571428571427,5042.285714285715,1780.5357142857142,2483.25,3356.1428571428573,2558.714285714286,1631.357142857143,1780.9642857142858,3733.9285714285716
d_359,3965,2690,5837,2047,2878,4406,3150,1909,1955,3750,2012-01-22,3579.535714285714,2536.1785714285716,5250.714285714285,1853.642857142857,2586.035714285714,3513.5,2671.1428571428573,1699.5357142857142,1850.6785714285713,3867.8571428571427
d_360,2678,2029,4856,1802,2123,3152,2344,1348,1537,2833,2012-01-23,3556.0714285714284,2513.8928571428573,5245.642857142857,1867.857142857143,2563.0714285714284,3503.964285714286,2652.75,1691.392857142857,1850.4285714285713,3844.8214285714284
d_361,2571,2125,4732,1681,1790,2787,2016,1584,1595,2668,2012-01-24,3536.785714285714,2502.6785714285716,5252.857142857143,1867.357142857143,2552.464285714286,3495.1785714285716,2647.8214285714284,1696.5714285714287,1857.642857142857,3841.1785714285716
d_362,2460,2034,4329,1799,1739,2598,1826,1455,1575,2593,2012-01-25,3514.035714285714,2494.214285714286,5238.0,1873.607142857143,2538.8928571428573,3478.464285714286,2637.714285714286,1691.2857142857142,1866.2857142857142,3832.9285714285716
d_363,2680,2124,4004,1663,1918,2775,2064,1529,1834,2646,2012-01-26,3494.285714285714,2480.6071428571427,5219.892857142857,1879.0,2532.75,3475.464285714286,2633.214285714286,1690.892857142857,1876.892857142857,3835.8571428571427
d_364,3444,2451,4654,1804,2295,3243,2382,1766,1923,3237,2012-01-27,3451.6428571428573,2456.1428571428573,5167.714285714285,1876.5,2519.6428571428573,3456.1428571428573,2613.8214285714284,1679.8214285714287,1862.9285714285713,3804.035714285714
d_365,4241,3801,5101,2263,2722,4429,3038,2373,2394,4000,2012-01-28,3451.8214285714284,2500.8928571428573,5152.214285714285,1884.25,2512.1071428571427,3466.3928571428573,2600.3214285714284,1684.0714285714287,1870.7142857142858,3787.4285714285716
d_366,4147,3527,6123,2304,2921,4178,3329,1726,1753,3569,2012-01-29,3505.3571428571427,2549.214285714286,5228.821428571428,1915.892857142857,2530.0,3516.5714285714284,2646.6785714285716,1705.9285714285713,1892.3214285714287,3839.785714285714
d_367,2889,2064,4875,1917,2206,3232,2207,1513,1750,2535,2012-01-30,3468.1428571428573,2516.25,5181.535714285715,1911.6785714285713,2510.75,3499.0714285714284,2624.0714285714284,1695.607142857143,1880.3214285714287,3762.25
d_368,2892,2170,5016,1758,1982,2814,2340,1508,1717,2927,2012-01-31,3446.5714285714284,2521.035714285714,5168.857142857143,1908.857142857143,2494.3928571428573,3479.1428571428573,2617.1785714285716,1694.8214285714287,1873.892857142857,3715.3928571428573
d_369,3205,2295,5600,1831,2910,3733,2838,1733,2168,3538,2012-02-01,3443.75,2536.8571428571427,5194.642857142857,1920.75,2518.9285714285716,3511.5,2629.964285714286,1699.357142857143,1885.9285714285713,3722.3928571428573
d_370,3409,2150,5160,2085,2268,2961,2479,1464,2335,4304,2012-02-02,3442.5,2540.785714285714,5199.607142857143,1931.7142857142858,2511.714285714286,3498.1071428571427,2620.214285714286,1695.357142857143,1898.1785714285713,3730.035714285714
d_371,4269,2675,6193,2126,2852,4036,3062,2136,2513,5242,2012-02-03,3457.3214285714284,2546.8214285714284,5253.071428571428,1945.0357142857142,2510.035714285714,3513.5714285714284,2633.3214285714284,1700.8214285714287,1913.642857142857,3762.3928571428573
d_372,5786,3959,7762,2622,3362,5120,3742,2771,2552,5353,2012-02-04,3497.1785714285716,2567.9285714285716,5302.285714285715,1959.6785714285713,2508.714285714286,3533.75,2651.3571428571427,1715.4285714285713,1925.892857142857,3784.035714285714
d_373,4783,3176,6911,2279,3784,5341,4130,1946,2534,5191,2012-02-05,3504.25,2565.8571428571427,5294.678571428572,1958.2857142857142,2522.714285714286,3567.035714285714,2685.285714285714,1722.3214285714287,1950.75,3794.8214285714284
d_374,3638,2251,5932,1977,2542,3610,2956,1468,2142,4165,2012-02-06,3504.285714285714,2565.6428571428573,5303.714285714285,1963.0,2537.4285714285716,3595.5,2711.214285714286,1722.9285714285713,1957.6785714285713,3793.0
d_375,3159,2163,5616,1847,2535,3573,2781,1494,1769,3171,2012-02-07,3502.214285714286,2571.8214285714284,5311.714285714285,1972.0714285714287,2546.3928571428573,3605.1071428571427,2726.535714285714,1723.5357142857142,1962.2142857142858,3785.214285714286
d_376,3041,2164,5498,1865,2360,3216,2598,1509,2069,4259,2012-02-08,3503.8928571428573,2575.464285714286,5344.142857142857,1973.5357142857142,2539.6071428571427,3603.1071428571427,2721.8571428571427,1709.2857142857142,1957.0357142857142,3762.285714285714
d_377,3034,2440,5501,1808,2528,3350,2451,1646,2519,4650,2012-02-09,3517.4285714285716,2588.8214285714284,5391.928571428572,1978.642857142857,2548.5714285714284,3612.535714285714,2718.75,1734.2857142857142,1975.5357142857142,3809.8571428571427
d_378,3516,2671,6108,2130,2253,3365,2510,1605,2083,3622,2012-02-10,3516.214285714286,2594.6071428571427,5424.607142857143,1988.7857142857142,2528.535714285714,3589.714285714286,2712.3214285714284,1735.142857142857,1990.0,3810.714285714286
d_379,5463,3959,7794,2445,3181,5212,3282,2534,2405,5482,2012-02-11,3558.785714285714,2615.25,5492.107142857143,1997.8214285714287,2535.8571428571427,3620.3214285714284,2717.0,1741.0714285714287,1990.892857142857,3798.035714285714
d_380,5230,3776,7095,2458,3664,5101,3820,2250,2737,5773,2012-02-12,3598.75,2636.285714285714,5531.464285714285,1998.5357142857142,2546.6785714285716,3643.214285714286,2727.8928571428573,1757.857142857143,2015.7142857142858,3805.214285714286
d_381,3674,2394,5849,2037,2901,4359,3134,1567,1987,3773,2012-02-13,3598.8928571428573,2626.5714285714284,5542.285714285715,1995.1785714285713,2551.3928571428573,3670.6428571428573,2744.8928571428573,1754.25,2021.857142857143,3795.8928571428573
d_382,2603,1884,4383,1547,2359,3291,2434,1453,1746,3400,2012-02-14,3591.0,2626.25,5547.607142857143,1994.2142857142858,2568.714285714286,3689.3571428571427,2750.25,1772.7857142857142,2040.892857142857,3824.8214285714284
d_383,2669,1975,4818,1532,2457,3463,2320,1630,1879,4135,2012-02-15,3588.8571428571427,2621.8928571428573,5557.607142857143,1984.357142857143,2580.5,3715.6428571428573,2747.5714285714284,1769.107142857143,2046.7142857142858,3848.285714285714
d_384,2832,2004,4582,1566,2130,3139,2485,1640,1663,3154,2012-02-16,3590.6428571428573,2621.3214285714284,5569.285714285715,1982.0,2579.1785714285716,3730.6071428571427,2758.3928571428573,1773.107142857143,2045.392857142857,3852.0714285714284
d_385,3311,2524,5317,1770,2044,3095,2514,1792,1886,3351,2012-02-17,3596.285714285714,2625.714285714286,5586.857142857143,1980.107142857143,2567.1785714285716,3714.5,2758.3571428571427,1786.0714285714287,2040.7857142857142,3860.4285714285716
d_386,4534,3714,6515,2109,2886,4423,3074,2461,2146,4760,2012-02-18,3575.8214285714284,2613.8928571428573,5577.178571428572,1966.857142857143,2556.785714285714,3714.3571428571427,2760.9285714285716,1778.9285714285713,2041.642857142857,3860.035714285714
d_387,4535,3351,6185,2088,3487,5083,3177,2133,1869,4430,2012-02-19,3596.1785714285716,2637.5,5589.607142857143,1968.3214285714287,2578.535714285714,3738.535714285714,2761.8928571428573,1786.9285714285713,2038.5714285714287,3884.3214285714284
d_388,3721,2714,6662,1915,2792,3425,2690,1442,1595,3262,2012-02-20,3633.4285714285716,2661.964285714286,5654.107142857143,1972.357142857143,2602.4285714285716,3748.285714285714,2774.25,1790.2857142857142,2040.642857142857,3899.6428571428573
d_389,2823,2003,5148,1721,2138,3147,2244,1510,1573,2883,2012-02-21,3642.4285714285716,2657.6071428571427,5668.964285714285,1973.7857142857142,2614.8571428571427,3761.1428571428573,2782.3928571428573,1787.642857142857,2039.857142857143,3907.3214285714284
d_390,2774,2224,4351,1498,2230,2881,1980,1679,1692,2806,2012-02-22,3653.6428571428573,2664.3928571428573,5669.75,1963.0357142857142,2632.3928571428573,3771.25,2787.8928571428573,1795.642857142857,2044.0357142857142,3914.9285714285716
d_391,2798,2366,4703,1639,2401,3005,2017,1630,1689,2963,2012-02-23,3657.8571428571427,2673.035714285714,5694.714285714285,1962.1785714285713,2649.6428571428573,3779.464285714286,2786.214285714286,1799.25,2038.857142857143,3926.25
d_392,3280,2840,5800,1787,2528,3165,2221,1634,1713,2902,2012-02-24,3652.0,2686.9285714285716,5735.642857142857,1961.5714285714287,2657.964285714286,3776.6785714285716,2780.464285714286,1794.5357142857142,2031.357142857143,3914.285714285714
d_393,4806,3550,6164,2035,2743,4248,2810,2806,2216,4391,2012-02-25,3672.1785714285716,2677.964285714286,5773.607142857143,1953.4285714285713,2658.714285714286,3770.214285714286,2772.3214285714284,1810.0,2025.0,3928.25
d_394,4430,3365,6784,2063,3234,4886,3366,2253,1926,3974,2012-02-26,3682.285714285714,2672.1785714285716,5797.214285714285,1944.8214285714287,2669.8928571428573,3795.5,2773.6428571428573,1828.8214285714287,2031.1785714285713,3942.714285714286
d_395,2998,2212,5286,1810,2322,3550,2706,1631,1672,3083,2012-02-27,3686.1785714285716,2677.464285714286,5811.892857142857,1941.0,2674.035714285714,3806.8571428571427,2791.464285714286,1833.0357142857142,2028.392857142857,3962.285714285714
d_396,2707,1942,4514,1663,2157,3022,2295,1500,1590,2969,2012-02-28,3679.5714285714284,2669.3214285714284,5793.964285714285,1937.607142857143,2680.285714285714,3814.285714285714,2789.8571428571427,1832.75,2023.857142857143,3963.785714285714
d_397,2915,2216,4424,1682,2155,3156,2259,1621,1736,2638,2012-02-29,3669.214285714286,2666.5,5751.964285714285,1932.2857142857142,2653.3214285714284,3793.6785714285716,2769.1785714285716,1828.75,2008.4285714285713,3931.6428571428573
d_398,3603,2452,5580,1710,2731,3752,2915,1817,2061,3611,2012-03-01,3676.1428571428573,2677.285714285714,5766.964285714285,1918.892857142857,2669.8571428571427,3821.9285714285716,2784.75,1841.357142857143,1998.642857142857,3906.8928571428573
d_399,4025,2955,6121,1969,2674,3631,2881,1727,2408,4152,2012-03-02,3667.4285714285716,2687.285714285714,5764.392857142857,1913.2857142857142,2663.5,3807.464285714286,2778.285714285714,1826.75,1994.892857142857,3867.964285714286
d_400,5123,3850,7392,2234,3161,4998,3320,2503,2717,6021,2012-03-03,3643.75,2683.3928571428573,5751.178571428572,1899.4285714285713,2656.3214285714284,3803.1071428571427,2763.214285714286,1817.1785714285713,2000.7857142857142,3891.8214285714284
