d,total_sales,date,weekday,wday,month,year,event_name_1,event_type_1,snap_CA,snap_TX,snap_WI,rolling_28_sales
d_333,24651,2011-12-27,Tuesday,4,12,2011,,,0,0,0,28273.285714285714
d_334,24791,2011-12-28,Wednesday,5,12,2011,Chanukah End,Religious,0,0,0,28405.5
d_335,24541,2011-12-29,Thursday,6,12,2011,,,0,0,0,28343.821428571428
d_336,33652,2011-12-30,Friday,7,12,2011,,,0,0,0,28484.0
d_337,33751,2011-12-31,Saturday,1,12,2011,,,0,0,0,28327.64285714286
d_338,21807,2012-01-01,Sunday,2,1,2012,NewYear,National,1,1,0,27853.678571428572
d_339,33053,2012-01-02,Monday,3,1,2012,,,1,0,1,27990.571428571428
d_340,28751,2012-01-03,Tuesday,4,1,2012,,,1,1,1,28043.571428571428
d_341,25821,2012-01-04,Wednesday,5,1,2012,,,1,0,0,28056.714285714286
d_342,28499,2012-01-05,Thursday,6,1,2012,,,1,1,1,28133.571428571428
d_343,30405,2012-01-06,Friday,7,1,2012,,,1,1,1,28168.10714285714
d_344,37143,2012-01-07,Saturday,1,1,2012,OrthodoxChristmas,Religious,1,1,0,28252.285714285714
d_345,36722,2012-01-08,Sunday,2,1,2012,,,1,0,1,28287.25
d_346,28206,2012-01-09,Monday,3,1,2012,,,1,1,1,28253.5
d_347,26640,2012-01-10,Tuesday,4,1,2012,,,1,0,0,28243.75
d_348,29044,2012-01-11,Wednesday,5,1,2012,,,0,1,1,28324.10714285714
d_349,24715,2012-01-12,Thursday,6,1,2012,,,0,1,1,28148.071428571428
d_350,29463,2012-01-13,Friday,7,1,2012,,,0,1,0,28168.714285714286
d_351,36815,2012-01-14,Saturday,1,1,2012,,,0,0,1,28263.571428571428
d_352,36459,2012-01-15,Sunday,2,1,2012,,,0,1,1,28419.714285714286
d_353,30548,2012-01-16,Monday,3,1,2012,MartinLutherKingDay,National,0,0,0,28544.0
d_354,22187,2012-01-17,Tuesday,4,1,2012,,,0,0,0,28398.464285714286
d_355,25348,2012-01-18,Wednesday,5,1,2012,,,0,0,0,28351.535714285714
d_356,24034,2012-01-19,Thursday,6,1,2012,,,0,0,0,28203.39285714286
d_357,27204,2012-01-20,Friday,7,1,2012,,,0,0,0,27937.60714285714
d_358,38578,2012-01-21,Saturday,1,1,2012,,,0,0,0,28245.464285714286
d_359,32587,2012-01-22,Sunday,2,1,2012,,,0,0,0,29408.821428571428
d_360,24702,2012-01-23,Monday,3,1,2012,,,0,0,0,29289.89285714286
d_361,23549,2012-01-24,Tuesday,4,1,2012,,,0,0,0,29250.535714285714
d_362,22408,2012-01-25,Wednesday,5,1,2012,,,0,0,0,29165.428571428572
d_363,23237,2012-01-26,Thursday,6,1,2012,,,0,0,0,29118.85714285714
d_364,27199,2012-01-27,Friday,7,1,2012,,,0,0,0,28888.39285714286
d_365,34362,2012-01-28,Saturday,1,1,2012,,,0,0,0,28910.214285714286
d_366,33577,2012-01-29,Sunday,2,1,2012,,,0,0,0,29330.571428571428
d_367,25188,2012-01-30,Monday,3,1,2012,,,0,0,0,29049.678571428572
d_368,25124,2012-01-31,Tuesday,4,1,2012,,,0,0,0,28920.14285714286
d_369,29851,2012-02-01,Wednesday,5,2,2012,,,1,1,0,29064.071428571428
d_370,28615,2012-02-02,Thursday,6,2,2012,,,1,0,1,29068.214285714286
d_371,35104,2012-02-03,Friday,7,2,2012,,,1,1,1,29236.035714285714
d_372,43029,2012-02-04,Saturday,1,2,2012,,,1,0,0,29446.25
d_373,40075,2012-02-05,Sunday,2,2,2012,SuperBowl,Sporting,1,1,1,29566.0
d_374,30681,2012-02-06,Monday,3,2,2012,,,1,1,1,29654.39285714286
d_375,28108,2012-02-07,Tuesday,4,2,2012,,,1,1,0,29706.821428571428
d_376,28579,2012-02-08,Wednesday,5,2,2012,,,1,0,1,29690.214285714286
d_377,29927,2012-02-09,Thursday,6,2,2012,,,1,1,1,29876.35714285714
d_378,29863,2012-02-10,Friday,7,2,2012,,,1,0,0,29890.64285714286
d_379,41757,2012-02-11,Saturday,1,2,2012,,,0,1,1,30067.14285714286
d_380,41904,2012-02-12,Sunday,2,2,2012,,,0,1,1,30261.60714285714
d_381,31675,2012-02-13,Monday,3,2,2012,,,0,1,0,30301.85714285714
d_382,25100,2012-02-14,Tuesday,4,2,2012,ValentinesDay,Cultural,0,0,1,30405.89285714286
d_383,26878,2012-02-15,Wednesday,5,2,2012,,,0,1,1,30460.535714285714
d_384,25195,2012-02-16,Thursday,6,2,2012,,,0,0,0,30502.0
d_385,27604,2012-02-17,Friday,7,2,2012,,,0,0,0,30516.285714285714
d_386,36622,2012-02-18,Saturday,1,2,2012,,,0,0,0,30446.428571428572
d_387,36338,2012-02-19,Sunday,2,2,2012,,,0,0,0,30580.39285714286
d_388,30218,2012-02-20,Monday,3,2,2012,PresidentsDay,National,0,0,0,30777.39285714286
d_389,25190,2012-02-21,Tuesday,4,2,2012,,,0,0,0,30836.0
d_390,24115,2012-02-22,Wednesday,5,2,2012,LentStart,Religious,0,0,0,30896.964285714286
d_391,25211,2012-02-23,Thursday,6,2,2012,,,0,0,0,30967.464285714286
d_392,27870,2012-02-24,Friday,7,2,2012,,,0,0,0,30991.428571428572
d_393,35769,2012-02-25,Saturday,1,2,2012,,,0,0,0,31041.678571428572
d_394,36281,2012-02-26,Sunday,2,2,2012,,,0,0,0,31138.25
d_395,27270,2012-02-27,Monday,3,2,2012,,,0,0,0,31212.60714285714
d_396,24359,2012-02-28,Tuesday,4,2,2012,,,0,0,0,31185.285714285714
d_397,24802,2012-02-29,Wednesday,5,2,2012,LentWeek2,Religious,0,0,0,31004.964285714286
d_398,30232,2012-03-01,Thursday,6,3,2012,,,1,1,0,31062.714285714286
d_399,32543,2012-03-02,Friday,7,3,2012,,,1,0,1,30971.25
d_400,41319,2012-03-03,Saturday,1,3,2012,,,1,1,1,30910.178571428572
d_401,40325,2012-03-04,Sunday,2,3,2012,,,1,0,0,30919.10714285714
d_402,32703,2012-03-05,Monday,3,3,2012,,,1,1,1,30991.321428571428
d_403,31532,2012-03-06,Tuesday,4,3,2012,,,1,1,1,31113.60714285714
d_404,28608,2012-03-07,Wednesday,5,3,2012,,,1,1,0,31114.64285714286
d_405,29759,2012-03-08,Thursday,6,3,2012,Purim End,Religious,1,0,1,31108.64285714286
d_406,32322,2012-03-09,Friday,7,3,2012,,,1,1,1,31196.464285714286
d_407,39559,2012-03-10,Saturday,1,3,2012,,,1,0,0,31117.964285714286
d_408,40612,2012-03-11,Sunday,2,3,2012,,,0,1,1,31071.821428571428
d_409,32501,2012-03-12,Monday,3,3,2012,,,0,1,1,31101.321428571428
d_410,29100,2012-03-13,Tuesday,4,3,2012,,,0,1,0,31244.178571428572
d_411,27841,2012-03-14,Wednesday,5,3,2012,,,0,0,1,31278.571428571428
d_412,30752,2012-03-15,Thursday,6,3,2012,,,0,1,1,31477.035714285714
d_413,30951,2012-03-16,Friday,7,3,2012,,,0,0,0,31596.571428571428
d_414,37904,2012-03-17,Saturday,1,3,2012,StPatricksDay,Cultural,0,0,0,31642.35714285714
d_415,37694,2012-03-18,Sunday,2,3,2012,,,0,0,0,31690.785714285714
d_416,29187,2012-03-19,Monday,3,3,2012,,,0,0,0,31653.964285714286
d_417,25533,2012-03-20,Tuesday,4,3,2012,,,0,0,0,31666.214285714286
d_418,26227,2012-03-21,Wednesday,5,3,2012,,,0,0,0,31741.64285714286
d_419,26015,2012-03-22,Thursday,6,3,2012,,,0,0,0,31770.35714285714
d_420,29055,2012-03-23,Friday,7,3,2012,,,0,0,0,31812.678571428572
d_421,37089,2012-03-24,Saturday,1,3,2012,,,0,0,0,31859.821428571428
d_422,37843,2012-03-25,Sunday,2,3,2012,,,0,0,0,31915.60714285714
d_423,27182,2012-03-26,Monday,3,3,2012,,,0,0,0,31912.464285714286
d_424,24649,2012-03-27,Tuesday,4,3,2012,,,0,0,0,31922.821428571428
d_425,24783,2012-03-28,Wednesday,5,3,2012,,,0,0,0,31922.14285714286
d_426,23879,2012-03-29,Thursday,6,3,2012,,,0,0,0,31695.25
d_427,30732,2012-03-30,Friday,7,3,2012,,,0,0,0,31630.571428571428
d_428,38463,2012-03-31,Saturday,1,3,2012,,,0,0,0,31528.571428571428
d_429,39783,2012-04-01,Sunday,2,4,2012,,,1,1,0,31509.214285714286
d_430,31359,2012-04-02,Monday,3,4,2012,,,1,0,1,31461.214285714286
d_431,33033,2012-04-03,Tuesday,4,4,2012,,,1,1,1,31514.821428571428
d_432,28318,2012-04-04,Wednesday,5,4,2012,,,1,0,0,31504.464285714286
d_433,31368,2012-04-05,Thursday,6,4,2012,,,1,1,1,31561.928571428572
d_434,37545,2012-04-06,Friday,7,4,2012,,,1,1,1,31748.464285714286
d_435,45638,2012-04-07,Saturday,1,4,2012,,,1,1,0,31965.571428571428
d_436,36210,2012-04-08,Sunday,2,4,2012,Easter,Cultural,1,0,1,31808.35714285714
d_437,31993,2012-04-09,Monday,3,4,2012,,,1,1,1,31790.214285714286
d_438,28800,2012-04-10,Tuesday,4,4,2012,,,1,0,0,31779.5
d_439,29575,2012-04-11,Wednesday,5,4,2012,,,0,1,1,31841.428571428572
d_440,28568,2012-04-12,Thursday,6,4,2012,,,0,1,1,31763.428571428572
d_441,31938,2012-04-13,Friday,7,4,2012,,,0,1,0,31798.678571428572
d_442,38546,2012-04-14,Saturday,1,4,2012,Pesach End,Religious,0,0,1,31821.60714285714
d_443,38707,2012-04-15,Sunday,2,4,2012,OrthodoxEaster,Religious,0,1,1,31857.785714285714
d_444,27672,2012-04-16,Monday,3,4,2012,,,0,0,0,31803.678571428572
d_445,26067,2012-04-17,Tuesday,4,4,2012,,,0,0,0,31822.75
d_446,24699,2012-04-18,Wednesday,5,4,2012,,,0,0,0,31768.178571428572
d_447,24824,2012-04-19,Thursday,6,4,2012,,,0,0,0,31725.64285714286
d_448,28143,2012-04-20,Friday,7,4,2012,,,0,0,0,31693.071428571428
d_449,36708,2012-04-21,Saturday,1,4,2012,,,0,0,0,31679.464285714286
d_450,36764,2012-04-22,Sunday,2,4,2012,,,0,0,0,31640.928571428572
d_451,26670,2012-04-23,Monday,3,4,2012,,,0,0,0,31622.64285714286
d_452,24848,2012-04-24,Tuesday,4,4,2012,,,0,0,0,31629.75
d_453,24448,2012-04-25,Wednesday,5,4,2012,,,0,0,0,31617.785714285714
d_454,24530,2012-04-26,Thursday,6,4,2012,,,0,0,0,31641.035714285714
d_455,28977,2012-04-27,Friday,7,4,2012,,,0,0,0,31578.35714285714
d_456,35647,2012-04-28,Saturday,1,4,2012,,,0,0,0,31477.785714285714
d_457,36124,2012-04-29,Sunday,2,4,2012,,,0,0,0,31347.10714285714
d_458,27356,2012-04-30,Monday,3,4,2012,,,0,0,0,31204.14285714286
d_459,30290,2012-05-01,Tuesday,4,5,2012,,,1,1,0,31106.178571428572
d_460,29239,2012-05-02,Wednesday,5,5,2012,,,1,0,1,31139.071428571428
d_461,32959,2012-05-03,Thursday,6,5,2012,,,1,1,1,31195.89285714286
d_462,32932,2012-05-04,Friday,7,5,2012,,,1,0,0,31031.14285714286
d_463,39201,2012-05-05,Saturday,1,5,2012,Cinco De Mayo,Cultural,1,1,1,30801.25
d_464,41529,2012-05-06,Sunday,2,5,2012,,,1,1,1,30991.214285714286
d_465,33477,2012-05-07,Monday,3,5,2012,,,1,1,0,31044.214285714286
d_466,30433,2012-05-08,Tuesday,4,5,2012,,,1,0,1,31102.535714285714
d_467,30204,2012-05-09,Wednesday,5,5,2012,,,1,1,1,31125.0
d_468,28164,2012-05-10,Thursday,6,5,2012,,,1,0,0,31110.571428571428
d_469,32814,2012-05-11,Friday,7,5,2012,,,0,1,1,31141.85714285714
d_470,40872,2012-05-12,Saturday,1,5,2012,,,0,1,1,31224.928571428572
d_471,33769,2012-05-13,Sunday,2,5,2012,Mother's day,Cultural,0,1,0,31048.571428571428
d_472,31583,2012-05-14,Monday,3,5,2012,,,0,0,1,31188.25
d_473,31758,2012-05-15,Tuesday,4,5,2012,,,0,1,1,31391.5
d_474,28677,2012-05-16,Wednesday,5,5,2012,,,0,0,0,31533.571428571428
d_475,27323,2012-05-17,Thursday,6,5,2012,,,0,0,0,31622.821428571428
d_476,32311,2012-05-18,Friday,7,5,2012,,,0,0,0,31771.678571428572
d_477,37929,2012-05-19,Saturday,1,5,2012,,,0,0,0,31815.285714285714
d_478,39514,2012-05-20,Sunday,2,5,2012,,,0,0,0,31913.5
d_479,28805,2012-05-21,Monday,3,5,2012,,,0,0,0,31989.75
d_480,27502,2012-05-22,Tuesday,4,5,2012,,,0,0,0,32084.535714285714
d_481,26623,2012-05-23,Wednesday,5,5,2012,,,0,0,0,32162.214285714286
d_482,27963,2012-05-24,Thursday,6,5,2012,,,0,0,0,32284.821428571428
d_483,32797,2012-05-25,Friday,7,5,2012,,,0,0,0,32421.25
d_484,37239,2012-05-26,Saturday,1,5,2012,,,0,0,0,32478.10714285714
d_485,33853,2012-05-27,Sunday,2,5,2012,,,0,0,0,32397.0
d_486,33407,2012-05-28,Monday,3,5,2012,MemorialDay,National,0,0,0,32613.10714285714
d_487,28620,2012-05-29,Tuesday,4,5,2012,,,0,0,0,32553.464285714286
d_488,27150,2012-05-30,Wednesday,5,5,2012,,,0,0,0,32478.85714285714
d_489,28809,2012-05-31,Thursday,6,5,2012,,,0,0,0,32330.64285714286
d_490,39529,2012-06-01,Friday,7,6,2012,,,1,1,0,32566.25
d_491,44943,2012-06-02,Saturday,1,6,2012,,,1,0,1,32771.32142857143
d_492,43910,2012-06-03,Sunday,2,6,2012,,,1,1,1,32856.357142857145
d_493,33294,2012-06-04,Monday,3,6,2012,,,1,0,0,32849.82142857143
d_494,34006,2012-06-05,Tuesday,4,6,2012,,,1,1,1,32977.42857142857
d_495,33587,2012-06-06,Wednesday,5,6,2012,,,1,1,1,33098.25
d_496,32535,2012-06-07,Thursday,6,6,2012,,,1,1,0,33254.357142857145
d_497,36901,2012-06-08,Friday,7,6,2012,,,1,0,1,33400.32142857143
d_498,43309,2012-06-09,Saturday,1,6,2012,,,1,1,1,33487.357142857145
d_499,44944,2012-06-10,Sunday,2,6,2012,,,1,0,0,33886.46428571428
d_500,39636,2012-06-11,Monday,3,6,2012,,,0,1,1,34174.07142857143
d_501,35074,2012-06-12,Tuesday,4,6,2012,NBAFinalsStart,Sporting,0,1,1,34292.5
d_502,32930,2012-06-13,Wednesday,5,6,2012,,,0,1,0,34444.392857142855
d_503,33782,2012-06-14,Thursday,6,6,2012,,,0,0,1,34675.07142857143
d_504,41798,2012-06-15,Friday,7,6,2012,,,0,1,1,35013.892857142855
d_505,44438,2012-06-16,Saturday,1,6,2012,,,0,0,0,35246.357142857145
d_506,39039,2012-06-17,Sunday,2,6,2012,Father's day,Cultural,0,0,0,35229.392857142855
d_507,34100,2012-06-18,Monday,3,6,2012,,,0,0,0,35418.5
d_508,31967,2012-06-19,Tuesday,4,6,2012,,,0,0,0,35577.96428571428
d_509,31468,2012-06-20,Wednesday,5,6,2012,,,0,0,0,35751.0
d_510,30764,2012-06-21,Thursday,6,6,2012,NBAFinalsEnd,Sporting,0,0,0,35851.03571428572
d_511,36477,2012-06-22,Friday,7,6,2012,,,0,0,0,35982.46428571428
d_512,40010,2012-06-23,Saturday,1,6,2012,,,0,0,0,36081.42857142857
d_513,40509,2012-06-24,Sunday,2,6,2012,,,0,0,0,36319.142857142855
d_514,31847,2012-06-25,Monday,3,6,2012,,,0,0,0,36263.42857142857
d_515,29371,2012-06-26,Tuesday,4,6,2012,,,0,0,0,36290.25
d_516,28885,2012-06-27,Wednesday,5,6,2012,,,0,0,0,36352.21428571428
d_517,29585,2012-06-28,Thursday,6,6,2012,,,0,0,0,36379.92857142857
d_518,36377,2012-06-29,Friday,7,6,2012,,,0,0,0,36267.357142857145
d_519,40594,2012-06-30,Saturday,1,6,2012,,,0,0,0,36112.03571428572
d_520,40699,2012-07-01,Sunday,2,7,2012,,,1,1,0,35997.357142857145
d_521,35863,2012-07-02,Monday,3,7,2012,,,1,0,1,36089.107142857145
d_522,39542,2012-07-03,Tuesday,4,7,2012,,,1,1,1,36286.82142857143
d_523,32656,2012-07-04,Wednesday,5,7,2012,IndependenceDay,National,1,0,0,36253.57142857143
d_524,34408,2012-07-05,Thursday,6,7,2012,,,1,1,1,36320.46428571428
d_525,39991,2012-07-06,Friday,7,7,2012,,,1,1,1,36430.82142857143
d_526,41431,2012-07-07,Saturday,1,7,2012,,,1,1,0,36363.75
d_527,42672,2012-07-08,Sunday,2,7,2012,,,1,0,1,36282.607142857145
d_528,35770,2012-07-09,Monday,3,7,2012,,,1,1,1,36144.53571428572
d_529,32587,2012-07-10,Tuesday,4,7,2012,,,1,0,0,36055.71428571428
d_530,33072,2012-07-11,Wednesday,5,7,2012,,,0,1,1,36060.78571428572
d_531,33077,2012-07-12,Thursday,6,7,2012,,,0,1,1,36035.607142857145
d_532,36582,2012-07-13,Friday,7,7,2012,,,0,1,0,35849.32142857143
d_533,42348,2012-07-14,Saturday,1,7,2012,,,0,0,1,35774.67857142857
d_534,43689,2012-07-15,Sunday,2,7,2012,,,0,1,1,35940.75
d_535,33020,2012-07-16,Monday,3,7,2012,,,0,0,0,35902.17857142857
d_536,30418,2012-07-17,Tuesday,4,7,2012,,,0,0,0,35846.857142857145
d_537,28916,2012-07-18,Wednesday,5,7,2012,,,0,0,0,35755.71428571428
d_538,30864,2012-07-19,Thursday,6,7,2012,,,0,0,0,35759.28571428572
d_539,35402,2012-07-20,Friday,7,7,2012,Ramadan starts,Religious,0,0,0,35720.892857142855
d_540,39544,2012-07-21,Saturday,1,7,2012,,,0,0,0,35704.25
d_541,39952,2012-07-22,Sunday,2,7,2012,,,0,0,0,35684.357142857145
d_542,30864,2012-07-23,Monday,3,7,2012,,,0,0,0,35649.25
d_543,29479,2012-07-24,Tuesday,4,7,2012,,,0,0,0,35653.107142857145
d_544,28354,2012-07-25,Wednesday,5,7,2012,,,0,0,0,35634.142857142855
d_545,28538,2012-07-26,Thursday,6,7,2012,,,0,0,0,35596.75
d_546,31840,2012-07-27,Friday,7,7,2012,,,0,0,0,35434.71428571428
d_547,34588,2012-07-28,Saturday,1,7,2012,,,0,0,0,35220.21428571428
d_548,36147,2012-07-29,Sunday,2,7,2012,,,0,0,0,35057.642857142855
d_549,28933,2012-07-30,Monday,3,7,2012,,,0,0,0,34810.142857142855
d_550,29531,2012-07-31,Tuesday,4,7,2012,,,0,0,0,34452.607142857145
d_551,33970,2012-08-01,Wednesday,5,8,2012,,,1,1,0,34499.53571428572
d_552,35260,2012-08-02,Thursday,6,8,2012,,,1,0,1,34529.96428571428
d_553,39511,2012-08-03,Friday,7,8,2012,,,1,1,1,34512.82142857143
d_554,41276,2012-08-04,Saturday,1,8,2012,,,1,0,0,34507.28571428572
d_555,43009,2012-08-05,Sunday,2,8,2012,,,1,1,1,34519.32142857143
d_556,37024,2012-08-06,Monday,3,8,2012,,,1,1,1,34564.107142857145
d_557,32394,2012-08-07,Tuesday,4,8,2012,,,1,1,0,34557.21428571428
d_558,32301,2012-08-08,Wednesday,5,8,2012,,,1,0,1,34529.67857142857
d_559,35008,2012-08-09,Thursday,6,8,2012,,,1,1,1,34598.642857142855
d_560,36465,2012-08-10,Friday,7,8,2012,,,1,0,0,34594.46428571428
d_561,44081,2012-08-11,Saturday,1,8,2012,,,0,1,1,34656.357142857145
d_562,45798,2012-08-12,Sunday,2,8,2012,,,0,1,1,34731.67857142857
d_563,36030,2012-08-13,Monday,3,8,2012,,,0,1,0,34839.17857142857
d_564,34312,2012-08-14,Tuesday,4,8,2012,,,0,0,1,34978.25
d_565,35497,2012-08-15,Wednesday,5,8,2012,,,0,1,1,35213.28571428572
d_566,34405,2012-08-16,Thursday,6,8,2012,,,0,0,0,35339.75
d_567,35457,2012-08-17,Friday,7,8,2012,,,0,0,0,35341.71428571428
d_568,41521,2012-08-18,Saturday,1,8,2012,,,0,0,0,35412.32142857143
d_569,43364,2012-08-19,Sunday,2,8,2012,Eid al-Fitr,Religious,0,0,0,35534.17857142857
d_570,32410,2012-08-20,Monday,3,8,2012,,,0,0,0,35589.392857142855
d_571,30206,2012-08-21,Tuesday,4,8,2012,,,0,0,0,35615.357142857145
d_572,28922,2012-08-22,Wednesday,5,8,2012,,,0,0,0,35635.642857142855
d_573,28552,2012-08-23,Thursday,6,8,2012,,,0,0,0,35636.142857142855
d_574,33044,2012-08-24,Friday,7,8,2012,,,0,0,0,35679.142857142855
d_575,39964,2012-08-25,Saturday,1,8,2012,,,0,0,0,35871.142857142855
d_576,41021,2012-08-26,Sunday,2,8,2012,,,0,0,0,36045.21428571428
d_577,31010,2012-08-27,Monday,3,8,2012,,,0,0,0,36119.392857142855
d_578,28472,2012-08-28,Tuesday,4,8,2012,,,0,0,0,36081.57142857143
d_579,27101,2012-08-29,Wednesday,5,8,2012,,,0,0,0,35836.25
d_580,28303,2012-08-30,Thursday,6,8,2012,,,0,0,0,35587.78571428572
d_581,37092,2012-08-31,Friday,7,8,2012,,,0,0,0,35501.392857142855
d_582,44630,2012-09-01,Saturday,1,9,2012,,,1,1,0,35621.17857142857
d_583,42819,2012-09-02,Sunday,2,9,2012,,,1,0,1,35614.392857142855
d_584,44525,2012-09-03,Monday,3,9,2012,LaborDay,National,1,1,1,35882.28571428572
d_585,31879,2012-09-04,Tuesday,4,9,2012,,,1,0,0,35863.892857142855
d_586,31854,2012-09-05,Wednesday,5,9,2012,,,1,1,1,35847.92857142857
d_587,32575,2012-09-06,Thursday,6,9,2012,,,1,1,1,35761.03571428572
d_588,34775,2012-09-07,Friday,7,9,2012,,,1,1,0,35700.67857142857
d_589,43218,2012-09-08,Saturday,1,9,2012,,,1,0,1,35669.857142857145
d_590,46649,2012-09-09,Sunday,2,9,2012,,,1,1,1,35700.25
d_591,32972,2012-09-10,Monday,3,9,2012,,,1,0,0,35591.03571428572
d_592,32370,2012-09-11,Tuesday,4,9,2012,,,0,1,1,35521.67857142857
d_593,31018,2012-09-12,Wednesday,5,9,2012,,,0,1,1,35361.71428571428
d_594,30142,2012-09-13,Thursday,6,9,2012,,,0,1,0,35209.46428571428
d_595,36359,2012-09-14,Friday,7,9,2012,,,0,0,1,35241.67857142857
d_596,45959,2012-09-15,Saturday,1,9,2012,,,0,1,1,35400.17857142857
d_597,44286,2012-09-16,Sunday,2,9,2012,,,0,0,0,35433.107142857145
d_598,31860,2012-09-17,Monday,3,9,2012,,,0,0,0,35413.46428571428
d_599,29276,2012-09-18,Tuesday,4,9,2012,,,0,0,0,35380.25
d_600,27065,2012-09-19,Wednesday,5,9,2012,,,0,0,0,35313.92857142857
d_601,28557,2012-09-20,Thursday,6,9,2012,,,0,0,0,35314.107142857145
d_602,33634,2012-09-21,Friday,7,9,2012,,,0,0,0,35335.17857142857
d_603,41889,2012-09-22,Saturday,1,9,2012,,,0,0,0,35403.92857142857
d_604,41362,2012-09-23,Sunday,2,9,2012,,,0,0,0,35416.107142857145
d_605,29176,2012-09-24,Monday,3,9,2012,,,0,0,0,35350.607142857145
d_606,27979,2012-09-25,Tuesday,4,9,2012,,,0,0,0,35333.0
d_607,26932,2012-09-26,Wednesday,5,9,2012,,,0,0,0,35326.96428571428
d_608,27231,2012-09-27,Thursday,6,9,2012,,,0,0,0,35288.67857142857
d_609,32656,2012-09-28,Friday,7,9,2012,,,0,0,0,35130.25
d_610,40981,2012-09-29,Saturday,1,9,2012,,,0,0,0,34999.92857142857
d_611,39736,2012-09-30,Sunday,2,9,2012,,,0,0,0,34889.82142857143
d_612,34841,2012-10-01,Monday,3,10,2012,,,1,1,0,34543.96428571428
d_613,33830,2012-10-02,Tuesday,4,10,2012,,,1,0,1,34613.642857142855
d_614,34220,2012-10-03,Wednesday,5,10,2012,,,1,1,1,34698.142857142855
d_615,30075,2012-10-04,Thursday,6,10,2012,,,1,0,0,34608.857142857145
d_616,34588,2012-10-05,Friday,7,10,2012,,,1,1,1,34602.17857142857
d_617,44040,2012-10-06,Saturday,1,10,2012,,,1,1,1,34631.53571428572
d_618,41872,2012-10-07,Sunday,2,10,2012,,,1,1,0,34460.92857142857
d_619,33790,2012-10-08,Monday,3,10,2012,ColumbusDay,National,1,0,1,34490.142857142855
d_620,32295,2012-10-09,Tuesday,4,10,2012,,,1,1,1,34487.46428571428
d_621,29969,2012-10-10,Wednesday,5,10,2012,,,1,0,0,34450.0
d_622,29998,2012-10-11,Thursday,6,10,2012,,,0,1,1,34444.857142857145
d_623,35052,2012-10-12,Friday,7,10,2012,,,0,1,1,34398.17857142857
d_624,42226,2012-10-13,Saturday,1,10,2012,,,0,1,0,34264.857142857145
d_625,42237,2012-10-14,Sunday,2,10,2012,,,0,0,1,34191.67857142857
d_626,33684,2012-10-15,Monday,3,10,2012,,,0,1,1,34256.82142857143
d_627,27869,2012-10-16,Tuesday,4,10,2012,,,0,0,0,34206.57142857143
d_628,27103,2012-10-17,Wednesday,5,10,2012,,,0,0,0,34207.92857142857
d_629,26169,2012-10-18,Thursday,6,10,2012,,,0,0,0,34122.642857142855
d_630,29711,2012-10-19,Friday,7,10,2012,,,0,0,0,33982.53571428572
d_631,36689,2012-10-20,Saturday,1,10,2012,,,0,0,0,33796.82142857143
d_632,36987,2012-10-21,Sunday,2,10,2012,,,0,0,0,33640.57142857143
d_633,26712,2012-10-22,Monday,3,10,2012,,,0,0,0,33552.57142857143
d_634,25419,2012-10-23,Tuesday,4,10,2012,,,0,0,0,33461.142857142855
d_635,24390,2012-10-24,Wednesday,5,10,2012,,,0,0,0,33370.357142857145
d_636,24312,2012-10-25,Thursday,6,10,2012,,,0,0,0,33266.107142857145
d_637,31863,2012-10-26,Friday,7,10,2012,EidAlAdha,Religious,0,0,0,33237.78571428572
d_638,38547,2012-10-27,Saturday,1,10,2012,,,0,0,0,33150.857142857145
d_639,37184,2012-10-28,Sunday,2,10,2012,,,0,0,0,33059.71428571428
d_640,27581,2012-10-29,Monday,3,10,2012,,,0,0,0,32800.42857142857
d_641,28080,2012-10-30,Tuesday,4,10,2012,,,0,0,0,32595.071428571428
d_642,24975,2012-10-31,Wednesday,5,10,2012,Halloween,Cultural,0,0,0,32264.89285714286
d_643,31051,2012-11-01,Thursday,6,11,2012,,,1,1,0,32299.75
d_644,35514,2012-11-02,Friday,7,11,2012,,,1,0,1,32332.821428571428
d_645,45079,2012-11-03,Saturday,1,11,2012,,,1,1,1,32369.928571428572
d_646,42545,2012-11-04,Sunday,2,11,2012,,,1,0,0,32393.964285714286
d_647,33057,2012-11-05,Monday,3,11,2012,,,1,1,1,32367.785714285714
d_648,30514,2012-11-06,Tuesday,4,11,2012,,,1,1,1,32304.178571428572
d_649,29683,2012-11-07,Wednesday,5,11,2012,,,1,1,0,32293.964285714286
d_650,30757,2012-11-08,Thursday,6,11,2012,,,1,0,1,32321.071428571428
d_651,35722,2012-11-09,Friday,7,11,2012,,,1,1,1,32345.0
d_652,42884,2012-11-10,Saturday,1,11,2012,,,1,0,0,32368.5
d_653,43517,2012-11-11,Sunday,2,11,2012,VeteransDay,National,0,1,1,32414.214285714286
d_654,33213,2012-11-12,Monday,3,11,2012,,,0,1,1,32397.39285714286
d_655,28308,2012-11-13,Tuesday,4,11,2012,,,0,1,0,32413.071428571428
d_656,27835,2012-11-14,Wednesday,5,11,2012,,,0,0,1,32439.214285714286
d_657,29713,2012-11-15,Thursday,6,11,2012,,,0,1,1,32565.785714285714
d_658,31616,2012-11-16,Friday,7,11,2012,,,0,0,0,32633.821428571428
d_659,40441,2012-11-17,Saturday,1,11,2012,,,0,0,0,32767.821428571428
d_660,37576,2012-11-18,Sunday,2,11,2012,,,0,0,0,32788.857142857145
d_661,29330,2012-11-19,Monday,3,11,2012,,,0,0,0,32882.357142857145
